title,date_time,likes,views,link,description
Lecture-4 | Sorting an ARRAY | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,"Jun 15, 2024",17,408 views,https://www.youtube.com//watch?v=6mwz4JQ6Z50,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Level Up Your Coding: Sorting Mastery in Array with  @SandeepJainGfG  
Welcome to Lecture-4 of our Sorting Playlist.  
</span></span>"
Lecture-3 | Sorting in Java | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,"Jun 13, 2024",32,906 views,https://www.youtube.com//watch?v=mUX5IfNwhjg,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Level Up Your Coding: Sorting Mastery in Java with </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""/@SandeepJainGfG"" rel=""nofollow"" tabindex=""0"" target="""">‪@SandeepJainGfG‬</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);""> 
Welcome to Lecture-3 of our Sorting Playlist. In this video you will learn:
</span></span>"
Lecture-2 | Sorting in CPP | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,"Jun 11, 2024",28,910 views,https://www.youtube.com//watch?v=tmESfVUaTog,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Welcome to Lecture-2 of our Sorting Playlist. In this, </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""/@SandeepJainGfG"" rel=""nofollow"" tabindex=""0"" target="""">‪@SandeepJainGfG‬</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">  will teach you all about Sorting in C++ programming language. Watch this quick video to learn all about sorting. Also included: An example of sorting to help learn practically!</span></span>"
7 Game-Changing Productivity Tools You Need to Try! 🚀 | Maximize Your Efficiency | GFG,"Jun 11, 2024",69,"1,104 views",https://www.youtube.com//watch?v=gH-7ezHeuEo,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">7 Game-Changing Productivity Tools You Need to Try! 🚀 | Maximize Your Efficiency | GFG
------------------------------------------------------------------
Useful Links:</span></span>"
Lecture-1 | Intro to Sorting Algorithms | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,"Jun 10, 2024",87,"2,791 views",https://www.youtube.com//watch?v=cqBW7BgN7Zs,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">Get started with Sorting algorithms with the simplest and the most effective video explanation ever! This lecture is a part of the DSA Self-Paced Course by CEO &amp; Founder Sandeep Jain. 
</span></span>"
Get 40LPA+ Jobs - Top MERN Stack Interview Questions 2024 🧑‍💻| MongoDB |ReactJS | ExpressJS |NodeJS,"Jun 10, 2024",47,800 views,https://www.youtube.com//watch?v=EhjCmg7qiTk,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">The Ultimate Roadmap for MERN Stack aspirants 🧑‍💻| MongoDB | ReactJS | ExpressJS | NodeJS | GFG
---------------------------------</span></span>"
All about Product Management Roles 🧑‍💻  | Skills and Resources Explained |#noncodingjobs #prodman,"Jun 9, 2024",48,851 views,https://www.youtube.com//watch?v=Jk2g9Drr1rI,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">All about Product Management Roles 🧑‍💻  | Skills and Resources Explained | </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""/hashtag/noncodingjobs"" rel=""nofollow"" tabindex=""0"" target="""">#noncodingjobs</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);""> </span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(62, 166, 255);""><a class=""yt-core-attributed-string__link yt-core-attributed-string__link--call-to-action-color"" force-new-state=""true"" href=""/hashtag/prodman"" rel=""nofollow"" tabindex=""0"" target="""">#prodman</a></span><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">
------------------------------------------</span></span>"
How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG,"May 29, 2024",85,"1,340 views",https://www.youtube.com//watch?v=ZEGi4IXY2ho,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-pre-wrap"" dir=""auto"" role=""text""><span class=""yt-core-attributed-string--link-inherit-color"" dir=""auto"" style=""color: rgb(255, 255, 255);"">How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG

In this tutorial, you'll learn how to craft a standout professional resume. Whether you're new </span></span>"
,,,,https://www.youtube.com//watch?v=W15T5GRf238,
,,,,https://www.youtube.com//watch?v=mPNpCXHjdkw,
