title,views,date_time,video_link,thumbnail_link
Lecture-3 | Sorting in Java | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,802 views,1 day ago,https://www.youtube.com//watch?v=mUX5IfNwhjg,https://i.ytimg.com/vi/mUX5IfNwhjg/hqdefault.jpg
Lecture-2 | Sorting in CPP | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,882 views,3 days ago,https://www.youtube.com//watch?v=tmESfVUaTog,https://i.ytimg.com/vi/tmESfVUaTog/hqdefault.jpg
7 Game-Changing Productivity Tools You Need to Try! 🚀 | Maximize Your Efficiency | GFG,1K views,3 days ago,https://www.youtube.com//watch?v=gH-7ezHeuEo,https://i.ytimg.com/vi/gH-7ezHeuEo/hqdefault.jpg
Lecture-1 | Intro to Sorting Algorithms | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,2.6K views,4 days ago,https://www.youtube.com//watch?v=cqBW7BgN7Zs,https://i.ytimg.com/vi/cqBW7BgN7Zs/hqdefault.jpg
Get 40LPA+ Jobs - Top MERN Stack Interview Questions 2024 🧑‍💻| MongoDB |ReactJS | ExpressJS |NodeJS,758 views,4 days ago,https://www.youtube.com//watch?v=EhjCmg7qiTk,https://i.ytimg.com/vi/EhjCmg7qiTk/hqdefault.jpg
All about Product Management Roles 🧑‍💻  | Skills and Resources Explained |#noncodingjobs #prodman,838 views,5 days ago,https://www.youtube.com//watch?v=Jk2g9Drr1rI,https://i.ytimg.com/vi/Jk2g9Drr1rI/hqdefault.jpg
How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG,1.3K views,2 weeks ago,https://www.youtube.com//watch?v=ZEGi4IXY2ho,https://i.ytimg.com/vi/ZEGi4IXY2ho/hqdefault.jpg
"Upto 40 LPA Jobs from Personal Branding 💸 | Linkedin, Youtube, Twitter, Freelancing 🚀 | GFG",1.4K views,3 weeks ago,https://www.youtube.com//watch?v=W15T5GRf238,https://i.ytimg.com/vi/W15T5GRf238/hqdefault.jpg
9 High Paying Jobs AI Can't Replace 💸💡 High Demand Jobs 2024 | Geeks for Geeks,1.5K views,3 weeks ago,https://www.youtube.com//watch?v=mPNpCXHjdkw,https://i.ytimg.com/vi/mPNpCXHjdkw/hqdefault.jpg
"Upto 20 LPA Jobs For Freshers With These Top 7 Skills | Salary, Scope, Roles & Responsibility etc.",1.3K views,4 weeks ago,https://www.youtube.com//watch?v=Q6QXk-rrW0M,
10-12 LPA JOBS for Freshers 💸 🧑‍💻Applications Closing Soon! Tech + Non Tech Roles | Job Vacancy 2024,3.1K views,1 month ago,https://www.youtube.com//watch?v=G_LoL_bBcQE,
BUILD YOUR OWN UI/UX WEBSITE USING React.js | MERN Projects | GeeksforGeeks,1.1K views,1 month ago,https://www.youtube.com//watch?v=uZ9JiGzq3mM,
"Get DREAM JOB with these NETWORKING TIPS! 💸💡LinkedIn, Referrals, Cold Messaging, Networking Events",1.3K views,1 month ago,https://www.youtube.com//watch?v=zPqMnLhkfp4,
RECURSION PRACTICE PROBLEM | Recursive Algorithm | DSA Course | GeeksforGeeks,689 views,1 month ago,https://www.youtube.com//watch?v=Hpf6mr-7_5k,
"Best Startup Ideas in College 2024 💸🚀| Earn Better than Placement? 🤑 | Guide, Ideas, Funding etc",1.4K views,1 month ago,https://www.youtube.com//watch?v=G_gowXgOFRA,
Get 20LPA+ Jobs with these 5 Unique Project Ideas💡| Projects for Internships and Placements,2.5K views,1 month ago,https://www.youtube.com//watch?v=5mw5IzWTFs0,
"Hate Coding? Upto 44 LPA Non Tech Jobs in 2024 💸 | Skills, Role and Salary Expected.",1.6K views,1 month ago,https://www.youtube.com//watch?v=DMhSsL3-SLk,
Asking Coding Questions to Students Worth 20k Prices 🥳🤑| Kaun Banega Codepati ? 💸,1.1K views,1 month ago,https://www.youtube.com//watch?v=a5C5lCGTIrs,
"Data Analyst vs Data Scientist vs Data Engineer | Differences, Skills, Salary & Responsibilities 💸",6.8K views,1 month ago,https://www.youtube.com//watch?v=EHmXVwjtgPs,
Top 8 Remote Jobs Websites For Freshers 🚀 |  Earn in Dollars | How to Get Remote Jobs in 2024?,2.7K views,1 month ago,https://www.youtube.com//watch?v=OIsIZ1w7aTU,
5 GENUINE Ways to EARN 40K+ as Student 💸🚀 | Pay Your College Fees | Earn Online ✅,1.8K views,1 month ago,https://www.youtube.com//watch?v=WEm6-g3dCBc,
Image Classification using CNN | Machine Learning Projects | GeeksforGeeks,1.9K views,1 month ago,https://www.youtube.com//watch?v=qm56XcRBXWc,
Does CGPA Matters in Placement? | Low CGPA? Tier 3? Eligibility? | IT Jobs & Companies for Low CGPA,1.7K views,1 month ago,https://www.youtube.com//watch?v=mrap_vC0ZqU,
15 LPA+ Fresher JOBS in Java 🚀 | BEST ROADMAP from Scratch | Geeks For Geeks,4.7K views,1 month ago,https://www.youtube.com//watch?v=BWc2DeBaYuQ,
Top 10 Highest Paying Tech Jobs in India 2024 💸🚀 | Geeks For Geeks,1.7K views,1 month ago,https://www.youtube.com//watch?v=tGSmvrS_TJk,
Build an Ecommerce Website Like ZARA using React.js | MERN Projects | GeeksforGeeks,3.4K views,1 month ago,https://www.youtube.com//watch?v=jk2rhtBJ5S4,
How to Start Coding in 2024? 🚀 | Programming Language for Beginners | Geeks for Geeks,2.5K views,1 month ago,https://www.youtube.com//watch?v=dAzVSu5zavU,
