title,views,date_time,video_link,thumbnail_link
Lecture-4 | Sorting an ARRAY | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,200 views,1 hour ago,https://www.youtube.com//watch?v=6mwz4JQ6Z50,https://i.ytimg.com/vi/6mwz4JQ6Z50/hqdefault.jpg
Lecture-3 | Sorting in Java | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,890 views,2 days ago,https://www.youtube.com//watch?v=mUX5IfNwhjg,https://i.ytimg.com/vi/mUX5IfNwhjg/hqdefault.jpg
Lecture-2 | Sorting in CPP | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,903 views,4 days ago,https://www.youtube.com//watch?v=tmESfVUaTog,https://i.ytimg.com/vi/tmESfVUaTog/hqdefault.jpg
7 Game-Changing Productivity Tools You Need to Try! 🚀 | Maximize Your Efficiency | GFG,1K views,4 days ago,https://www.youtube.com//watch?v=gH-7ezHeuEo,https://i.ytimg.com/vi/gH-7ezHeuEo/hqdefault.jpg
Lecture-1 | Intro to Sorting Algorithms | FREE Premium Lecture | DSA Self-Paced Course GeeksforGeeks,2.7K views,4 days ago,https://www.youtube.com//watch?v=cqBW7BgN7Zs,https://i.ytimg.com/vi/cqBW7BgN7Zs/hqdefault.jpg
Get 40LPA+ Jobs - Top MERN Stack Interview Questions 2024 🧑‍💻| MongoDB |ReactJS | ExpressJS |NodeJS,791 views,5 days ago,https://www.youtube.com//watch?v=EhjCmg7qiTk,https://i.ytimg.com/vi/EhjCmg7qiTk/hqdefault.jpg
All about Product Management Roles 🧑‍💻  | Skills and Resources Explained |#noncodingjobs #prodman,849 views,6 days ago,https://www.youtube.com//watch?v=Jk2g9Drr1rI,https://i.ytimg.com/vi/Jk2g9Drr1rI/hqdefault.jpg
How to Create a Job-Winning Resume: A Complete Guide 🫨 | Resume Making | Career Tips | GFG,1.3K views,2 weeks ago,https://www.youtube.com//watch?v=ZEGi4IXY2ho,https://i.ytimg.com/vi/ZEGi4IXY2ho/hqdefault.jpg
"Upto 40 LPA Jobs from Personal Branding 💸 | Linkedin, Youtube, Twitter, Freelancing 🚀 | GFG",1.4K views,3 weeks ago,https://www.youtube.com//watch?v=W15T5GRf238,https://i.ytimg.com/vi/W15T5GRf238/hqdefault.jpg
9 High Paying Jobs AI Can't Replace 💸💡 High Demand Jobs 2024 | Geeks for Geeks,1.5K views,4 weeks ago,https://www.youtube.com//watch?v=mPNpCXHjdkw,https://i.ytimg.com/vi/mPNpCXHjdkw/hqdefault.jpg
